term,definition,source_anchor,notes
<em>KEYn</em>,Block of data representing KEY n,https://csrc.nist.gov/glossary/term/keyn,source: NIST SP 800-20
<em>Kill Command</em>,A command that readers can send to tags that uses electronic disabling mechanisms to prevent tags from responding to any additional commands.,https://csrc.nist.gov/glossary/term/kill_command,source: NIST SP 800-98
<em>Klen</em>,The bit length of the block cipher key.,https://csrc.nist.gov/glossary/term/klen,source: NIST SP 800-38C
<em>kLen</em>,The length of K in bits,https://csrc.nist.gov/glossary/term/k_len,source: NIST SP 800-133 Rev. 2
<em>L</em>,"An integer specifying the length of the derived keying material <i>K<sub>OUT&nbsp;</sub></i>in bits, which is represented as a bit string when it is an input to a key-derivation function.",https://csrc.nist.gov/glossary/term/l,source: NIST SP 800-108r1
<em>L</em>,"An integer specifying the length of the derived keying material KOin bits, which is represented as a binary string when it is an input to a key derivation function.",https://csrc.nist.gov/glossary/term/l,source: NIST SP 800-108
<em>L</em>,"An integer specifying the length of the derived keying material KMin bits, which is represented as a binary string when it is an input to a key derivation procedure.",https://csrc.nist.gov/glossary/term/l,source: NIST SP 800-56C
<em>L</em>,The number of levels of trees in HSS.,https://csrc.nist.gov/glossary/term/l,source: NIST SP 800-208
<em>L-bit Hash Function</em>,A hash function for which the length of the output is L bits.,https://csrc.nist.gov/glossary/term/l_bit_hash_function,source: NIST SP 800-107 Rev. 1
"<em>LCM(a, b)</em>","Least Common Multiple of two positive integers a and b. For example, LCM(4, 6) = 12.",https://csrc.nist.gov/glossary/term/lcma_b,source: NIST SP 800-56B Rev. 2; NIST SP 800-56B Rev. 1
<em>Len</em>,"The number of n-byte string elements in a WOTS+ private key, public key, and signature.",https://csrc.nist.gov/glossary/term/len,source: NIST SP 800-208
<em>Level of Significance (a)</em>,"The probability of falsely rejecting the null hypothesis, i.e., the probability of concluding that the null hypothesis is false when the hypothesis is, in fact, true. The tester usually chooses this value; typical values are 0.05, 0.01 or 0.001; occasionally, smaller values such as 0.0001 are used. The level of significance is the probability of concluding that a sequence is non-random when it is in fact random. Synonyms: Type I error, a error.",https://csrc.nist.gov/glossary/term/level_of_significance_a,source: NIST SP 800-22 Rev. 1a
<em>lg(x)</em>,The base 2 logarithm of the positive real number x.,https://csrc.nist.gov/glossary/term/lg_x,source: NIST SP 800-38B; NIST SP 800-38C
<em>List</em>,"A dynamic-length data structure that stores a sequence of values, where each value is identified by its integer index.",https://csrc.nist.gov/glossary/term/list,source: NIST SP 800-90B
<em>Local performance metric</em>,"For a predictor, the length of the longest run of correct predictions",https://csrc.nist.gov/glossary/term/local_performance_metric,source: NIST SP 800-90B
