"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"AC-21","Information Sharing","false","","High","M,H","a. Enable authorized users to determine whether access authorizations assigned to a sharing partner match the information’s access and use restrictions for [Assignment: organization-defined information sharing circumstances where user discretion is required]; and

    b. Employ [Assignment: organization-defined automated mechanisms or manual processes] to assist users in making information sharing and collaboration decisions.",""
"AC-22","Publicly Accessible Content","false","","High","L,M,H","a. Designate individuals authorized to make information publicly accessible;

    b. Train authorized individuals to ensure that publicly accessible information does not contain nonpublic information;

    c. Review the proposed content of information prior to posting onto the publicly accessible system to ensure that nonpublic information is not included; and

    d. Review the content on the publicly accessible system for nonpublic information [FedRAMP Assignment: at least quarterly] and remove such information, if discovered.","at least quarterly"
"AT-1","Policy and Procedures","false","","High","L,M,H","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:

        1. [Selection (one-or-more): organization-level; mission/business process-level; system-level] awareness and training policy that:

            (a)   Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and

            (b)   Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and

        2. Procedures to facilitate the implementation of the awareness and training policy and the associated awareness and training controls;

    b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the awareness and training policy and procedures; and

    c. Review and update the current awareness and training:

        1. Policy [FedRAMP Assignment: at least annually] and following [Assignment: organization-defined events]; and

        2. Procedures [FedRAMP Assignment: at least annually] and following [FedRAMP Assignment: significant changes].","at least annually
at least annually
significant changes"
"AT-2","Literacy Training and Awareness","false","","High","L,M,H","a. Provide security and privacy literacy training to system users (including managers, senior executives, and contractors):

        1. As part of initial training for new users and [FedRAMP Assignment: at least annually] thereafter; and

        2. When required by system changes or following [Assignment: organization-defined events];

    b. Employ the following techniques to increase the security and privacy awareness of system users [Assignment: organization-defined awareness techniques];

    c. Update literacy training and awareness content [FedRAMP Assignment: at least annually] and following [Assignment: organization-defined events]; and

    d. Incorporate lessons learned from internal or external security or privacy incidents into literacy training and awareness techniques.","at least annually
at least annually"
"AT-2(2)","Insider Threat","true","AT-2","High","L,M,H","Provide literacy training on recognizing and reporting potential indicators of insider threat.",""
"AT-2(3)","Social Engineering and Mining","true","AT-2","High","M,H","Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.",""
"AT-3","Role-based Training","false","","High","L,M,H","a. Provide role-based security and privacy training to personnel with the following roles and responsibilities: [Assignment: organization-defined roles and responsibilities]:

        1. Before authorizing access to the system, information, or performing assigned duties, and [FedRAMP Assignment: at least annually] thereafter; and

        2. When required by system changes;

    b. Update role-based training content [FedRAMP Assignment: at least annually] and following [Assignment: organization-defined events]; and

    c. Incorporate lessons learned from internal or external security or privacy incidents into role-based training.","at least annually
at least annually"
"AT-4","Training Records","false","","High","L,M,H","a. Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and

    b. Retain individual training records for [FedRAMP Assignment: five (5) years or 5 years after completion of a specific training program].","five (5) years or 5 years after completion of a specific training program"
"AU-1","Policy and Procedures","false","","High","L,M,H","a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:

        1. [Selection (one-or-more): organization-level; mission/business process-level; system-level] audit and accountability policy that:

            (a)   Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and

            (b)   Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and

        2. Procedures to facilitate the implementation of the audit and accountability policy and the associated audit and accountability controls;

    b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the audit and accountability policy and procedures; and

    c. Review and update the current audit and accountability:

        1. Policy [FedRAMP Assignment: at least annually] and following [Assignment: organization-defined events]; and

        2. Procedures [FedRAMP Assignment: at least annually] and following [FedRAMP Assignment: significant changes].","at least annually
at least annually
significant changes"
"AU-2","Event Logging","false","","High","L,M,H","a. Identify the types of events that the system is capable of logging in support of the audit function: [FedRAMP Assignment: successful and unsuccessful account logon events, account management events, object access, policy change, privilege functions, process tracking, and system events. For Web applications: all administrator activity, authentication checks, authorization checks, data deletions, data access, data changes, and permission changes];

    b. Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged;

    c. Specify the following event types for logging within the system: [FedRAMP Assignment: organization-defined subset of the auditable events defined in AU-2a to be audited continually for each identified event.];

    d. Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and

    e. Review and update the event types selected for logging [FedRAMP Assignment: annually and whenever there is a change in the threat environment].

__ AU-2 Additional FedRAMP Requirements and Guidance:__

__ (e) Guidance:__ Annually or whenever changes in the threat environment are communicated to the service provider by the JAB/AO.

__ Requirement:__ Coordination between service provider and consumer shall be documented and accepted by the JAB/AO.","successful and unsuccessful account logon events, account management events, object access, policy change, privilege functions, process tracking, and system events. For Web applications: all administrator activity, authentication checks, authorization checks, data deletions, data access, data changes, and permission changes
organization-defined subset of the auditable events defined in AU-2a to be audited continually for each identified event.
annually and whenever there is a change in the threat environment"
