"identifier","family","base_control","enhancement","is_enhancement","sort_as","name","withdrawn","in_privacy_baseline","in_low_baseline","in_moderate_baseline","in_high_baseline"
"CP-10(2)","CP","CP-10","2","True","CP-10-02","System Recovery and Reconstitution | Transaction Recovery","False","False","False","True","True"
"CP-10(3)","CP","CP-10","3","True","CP-10-03","System Recovery and Reconstitution | Compensating Security Controls","False","False","False","False","False"
"CP-10(4)","CP","CP-10","4","True","CP-10-04","System Recovery and Reconstitution | Restore Within Time Period","False","False","False","False","True"
"CP-10(5)","CP","CP-10","5","True","CP-10-05","System Recovery and Reconstitution | Failover Capability","False","False","False","False","False"
"CP-10(6)","CP","CP-10","6","True","CP-10-06","System Recovery and Reconstitution | Component Protection","False","False","False","False","False"
"CP-11","CP","CP-11","","False","CP-11-00","Alternate Communications Protocols","False","False","False","False","False"
"CP-12","CP","CP-12","","False","CP-12-00","Safe Mode","False","False","False","False","False"
"CP-13","CP","CP-13","","False","CP-13-00","Alternative Security Mechanisms","False","False","False","False","False"
"IA-1","IA","IA-1","","False","IA-01-00","Policy and Procedures","False","False","True","True","True"
"IA-2","IA","IA-2","","False","IA-02-00","Identification and Authentication (organizational Users)","False","False","True","True","True"
"IA-2(1)","IA","IA-2","1","True","IA-02-01","Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts","False","False","True","True","True"
"IA-2(2)","IA","IA-2","2","True","IA-02-02","Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts","False","False","True","True","True"
"IA-2(3)","IA","IA-2","3","True","IA-02-03","Identification and Authentication (organizational Users) | Local Access to Privileged Accounts","False","False","False","False","False"
"IA-2(4)","IA","IA-2","4","True","IA-02-04","Identification and Authentication (organizational Users) | Local Access to Non-privileged Accounts","False","False","False","False","False"
"IA-2(5)","IA","IA-2","5","True","IA-02-05","Identification and Authentication (organizational Users) | Individual Authentication with Group Authentication","False","False","False","False","True"
"IA-2(6)","IA","IA-2","6","True","IA-02-06","Identification and Authentication (organizational Users) | Access to Accounts — Separate Device","False","False","False","False","False"
"IA-2(7)","IA","IA-2","7","True","IA-02-07","Identification and Authentication (organizational Users) | Access to Non-privileged Accounts — Separate Device","False","False","False","False","False"
"IA-2(8)","IA","IA-2","8","True","IA-02-08","Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant","False","False","True","True","True"
"IA-2(9)","IA","IA-2","9","True","IA-02-09","Identification and Authentication (organizational Users) | Network Access to Non-privileged Accounts — Replay Resistant","False","False","False","False","False"
"IA-2(10)","IA","IA-2","10","True","IA-02-10","Identification and Authentication (organizational Users) | Single Sign-on","False","False","False","False","False"
"IA-2(11)","IA","IA-2","11","True","IA-02-11","Identification and Authentication (organizational Users) | Remote Access — Separate Device","False","False","False","False","False"
"IA-2(12)","IA","IA-2","12","True","IA-02-12","Identification and Authentication (organizational Users) | Acceptance of PIV Credentials","False","False","True","True","True"
"IA-2(13)","IA","IA-2","13","True","IA-02-13","Identification and Authentication (organizational Users) | Out-of-band Authentication","False","False","False","False","False"
"IA-3","IA","IA-3","","False","IA-03-00","Device Identification and Authentication","False","False","False","True","True"
"IA-3(1)","IA","IA-3","1","True","IA-03-01","Device Identification and Authentication | Cryptographic Bidirectional Authentication","False","False","False","False","False"
"IA-3(2)","IA","IA-3","2","True","IA-03-02","Device Identification and Authentication | Cryptographic Bidirectional Network Authentication","False","False","False","False","False"
"IA-3(3)","IA","IA-3","3","True","IA-03-03","Device Identification and Authentication | Dynamic Address Allocation","False","False","False","False","False"
"IA-3(4)","IA","IA-3","4","True","IA-03-04","Device Identification and Authentication | Device Attestation","False","False","False","False","False"
"IA-4","IA","IA-4","","False","IA-04-00","Identifier Management","False","False","True","True","True"
"IA-4(1)","IA","IA-4","1","True","IA-04-01","Identifier Management | Prohibit Account Identifiers as Public Identifiers","False","False","False","False","False"
"IA-4(2)","IA","IA-4","2","True","IA-04-02","Identifier Management | Supervisor Authorization","False","False","False","False","False"
"IA-4(3)","IA","IA-4","3","True","IA-04-03","Identifier Management | Multiple Forms of Certification","False","False","False","False","False"
"IA-4(4)","IA","IA-4","4","True","IA-04-04","Identifier Management | Identify User Status","False","False","False","True","True"
"IA-4(5)","IA","IA-4","5","True","IA-04-05","Identifier Management | Dynamic Management","False","False","False","False","False"
"IA-4(6)","IA","IA-4","6","True","IA-04-06","Identifier Management | Cross-organization Management","False","False","False","False","False"
"IA-4(7)","IA","IA-4","7","True","IA-04-07","Identifier Management | In-person Registration","False","False","False","False","False"
"IA-4(8)","IA","IA-4","8","True","IA-04-08","Identifier Management | Pairwise Pseudonymous Identifiers","False","False","False","False","False"
"IA-4(9)","IA","IA-4","9","True","IA-04-09","Identifier Management | Attribute Maintenance and Protection","False","False","False","False","False"
"IA-5","IA","IA-5","","False","IA-05-00","Authenticator Management","False","False","True","True","True"
"IA-5(1)","IA","IA-5","1","True","IA-05-01","Authenticator Management | Password-based Authentication","False","False","True","True","True"
"IA-5(2)","IA","IA-5","2","True","IA-05-02","Authenticator Management | Public Key-based Authentication","False","False","False","True","True"
"IA-5(3)","IA","IA-5","3","True","IA-05-03","Authenticator Management | In-person or Trusted External Party Registration","False","False","False","False","False"
"IA-5(4)","IA","IA-5","4","True","IA-05-04","Authenticator Management | Automated Support for Password Strength Determination","False","False","False","False","False"
"IA-5(5)","IA","IA-5","5","True","IA-05-05","Authenticator Management | Change Authenticators Prior to Delivery","False","False","False","False","False"
"IA-5(6)","IA","IA-5","6","True","IA-05-06","Authenticator Management | Protection of Authenticators","False","False","False","True","True"
"IA-5(7)","IA","IA-5","7","True","IA-05-07","Authenticator Management | No Embedded Unencrypted Static Authenticators","False","False","False","False","False"
"IA-5(8)","IA","IA-5","8","True","IA-05-08","Authenticator Management | Multiple System Accounts","False","False","False","False","False"
"IA-5(9)","IA","IA-5","9","True","IA-05-09","Authenticator Management | Federated Credential Management","False","False","False","False","False"
"IA-5(10)","IA","IA-5","10","True","IA-05-10","Authenticator Management | Dynamic Credential Binding","False","False","False","False","False"
"IA-5(11)","IA","IA-5","11","True","IA-05-11","Authenticator Management | Hardware Token-based Authentication","False","False","False","False","False"
"IA-5(12)","IA","IA-5","12","True","IA-05-12","Authenticator Management | Biometric Authentication Performance","False","False","False","False","False"
"IA-5(13)","IA","IA-5","13","True","IA-05-13","Authenticator Management | Expiration of Cached Authenticators","False","False","False","False","False"
"IA-5(14)","IA","IA-5","14","True","IA-05-14","Authenticator Management | Managing Content of PKI Trust Stores","False","False","False","False","False"
"IA-5(15)","IA","IA-5","15","True","IA-05-15","Authenticator Management | GSA-approved Products and Services","False","False","False","False","False"
"IA-5(16)","IA","IA-5","16","True","IA-05-16","Authenticator Management | In-person or Trusted External Party Authenticator Issuance","False","False","False","False","False"
"IA-5(17)","IA","IA-5","17","True","IA-05-17","Authenticator Management | Presentation Attack Detection for Biometric Authenticators","False","False","False","False","False"
"IA-5(18)","IA","IA-5","18","True","IA-05-18","Authenticator Management | Password Managers","False","False","False","False","False"
"IA-6","IA","IA-6","","False","IA-06-00","Authentication Feedback","False","False","True","True","True"
"IA-7","IA","IA-7","","False","IA-07-00","Cryptographic Module Authentication","False","False","True","True","True"
"IA-8","IA","IA-8","","False","IA-08-00","Identification and Authentication (non-organizational Users)","False","False","True","True","True"
"IA-8(1)","IA","IA-8","1","True","IA-08-01","Identification and Authentication (non-organizational Users) | Acceptance of PIV Credentials from Other Agencies","False","False","True","True","True"
"IA-8(2)","IA","IA-8","2","True","IA-08-02","Identification and Authentication (non-organizational Users) | Acceptance of External Authenticators","False","False","True","True","True"
"IA-8(3)","IA","IA-8","3","True","IA-08-03","Identification and Authentication (non-organizational Users) | Use of FICAM-approved Products","False","False","False","False","False"
"IA-8(4)","IA","IA-8","4","True","IA-08-04","Identification and Authentication (non-organizational Users) | Use of Defined Profiles","False","False","True","True","True"
"IA-8(5)","IA","IA-8","5","True","IA-08-05","Identification and Authentication (non-organizational Users) | Acceptance of PIV-I Credentials","False","False","False","False","False"
