"control_id","family","family_name","title","ot_discussion","content"
"PM-5","PM","Program Management","System Inventory","","| CNTL | CONTROL NAME | |------|--------------------------| | NO. | Control Enhancement Name | | PM-5 | System Inventory | No OT Discussion for this control."
"PM-6","PM","Program Management","Measures Of Performance","","| CNTL | CONTROL NAME | |------|--------------------------| | NO. | Control Enhancement Name | | PM-6 | Measures of Performance | No OT Discussion for this control."
"PM-7","PM","Program Management","Enterprise Architecture","","| CNTL | CONTROL NAME | |------|--------------------------| | NO. | Control Enhancement Name | | PM-7 | Enterprise Architecture | No OT Discussion for this control."
"PM-8","PM","Program Management","Critical Infrastructure Plan","Organizations should be familiar with the protection requirements and guidance defined by Executive Orders, government sector-specific agencies (SSAs), and industry trade organizations.","| CNTL | CONTROL NAME | |------|------------------------------| | NO. | Control Enhancement Name | | PM-8 | Critical Infrastructure Plan | OT Discussion: Organizations should be familiar with the protection requirements and guidance defined by Executive Orders, government sector-specific agencies (SSAs), and industry trade organizations."
"PM-9","PM","Program Management","Risk Management Strategy","","| CNTL | CONTROL NAME | |------|--------------------------| | NO. | Control Enhancement Name | | PM-9 | Risk Management Strategy | No OT Discussion for this control."
"PM-10","PM","Program Management","Authorization Process","","| CNTL | CONTROL NAME | |-------|--------------------------| | NO. | Control Enhancement Name | | PM-10 | Authorization Process | No OT Discussion for this control."
"PM-11","PM","Program Management","Mission And Business Process Definition","","| CNTL | CONTROL NAME | |-------|-----------------------------------------| | NO. | Control Enhancement Name | | PM-11 | Mission and Business Process Definition | No OT Discussion for this control."
"PM-12","PM","Program Management","Insider Threat Program","","| CNTL | CONTROL NAME | |-------|--------------------------| | NO. | Control Enhancement Name | | PM-12 | Insider Threat Program | No OT Discussion for this control."
"PM-13","PM","Program Management","Security And Privacy Workforce","","| CNTL | CONTROL NAME | |-------|--------------------------------| | NO. | Control Enhancement Name | | PM-13 | Security and Privacy Workforce |"
"PM-14","PM","Program Management","Testing, Training, And Monitoring","","| CNTL | CONTROL NAME | |-------|-----------------------------------| | NO. | Control Enhancement Name | | PM-14 | Testing, Training, and Monitoring | No OT Discussion for this control."
"PM-15","PM","Program Management","Security And Privacy Groups And Associations","Organizations should be familiar with relevant security-focused and industryspecific groups or associations, including government sector-specific agencies (SSAs), Information Sharing and Analysis Centers (ISACs), and industry trade organizations.","| CNTL | CONTROL NAME | |-------|----------------------------------------------| | NO. | Control Enhancement Name | | PM-15 | Security and Privacy Groups and Associations | OT Discussion: Organizations should be familiar with relevant security-focused and industryspecific groups or associations, including government sector-specific agencies (SSAs), Information Sharing and Analysis Centers (ISACs), and industry trade organizations."
"PM-16","PM","Program Management","Threat Awareness Program","The organization should collaborate and share information about potential incidents on a timely basis. CISA [serves as a centralized location](https://www.cisa.gov/uscert/ics) where operational elements involved in cybersecurity and communications reliance are coordinated and integrated. Organizations should consider having both an unclassified and classified information sharing capability.","| CNTL | CONTROL NAME | |-------|--------------------------| | NO. | Control Enhancement Name | | PM-16 | Threat Awareness Program | OT Discussion: The organization should collaborate and share information about potential incidents on a timely basis. CISA [serves as a centralized location](https://www.cisa.gov/uscert/ics) where operational elements involved in cybersecurity and communications reliance are coordinated and integrated. Organizations should consider having both an unclassified and classified information sharing capability."
"PM-17","PM","Program Management","Protecting Controlled Unclassified Information On External Systems","This control applies to federal agencies and other organizations that support the Government and process controlled unclassified information (CUI).","| CNTL | CONTROL NAME | |-------|--------------------------------------------------------------------| | NO. | Control Enhancement Name | | PM-17 | Protecting Controlled Unclassified Information on External Systems | OT Discussion: This control applies to federal agencies and other organizations that support the Government and process controlled unclassified information (CUI)."
"PM-18","PM","Program Management","Privacy Program Plan","","| CNTL | CONTROL NAME | |-------|--------------------------| | NO. | Control Enhancement Name | | PM-18 | Privacy Program Plan |"
"PM-19","PM","Program Management","Privacy Program Leadership Role","","| CNTL | CONTROL NAME | |-------|---------------------------------| | NO. | Control Enhancement Name | | PM-19 | Privacy Program Leadership Role | No OT Discussion for this control."
"PM-20","PM","Program Management","Dissemination Of Privacy Program Information","","| CNTL<br>NO. | CONTROL NAME<br>Control Enhancement Name | |-------------|--------------------------------------------------------------------------------------------------------------------| | PM-20 | Dissemination of Privacy Program Information | | PM-20 (1) | DISSEMINATION OF PRIVACY PROGRAM INFORMATION PRIVACY POLICIES ON WEBSITES, APPLICATIONS,<br>AND DIGITAL SERVICES | No OT Discussion for this control."
"PM-21","PM","Program Management","Accounting Of Disclosures","","| CNTL | CONTROL NAME | |-------|---------------------------| | NO. | Control Enhancement Name | | PM-21 | Accounting of Disclosures | No OT Discussion for this control."
"PM-22","PM","Program Management","Personally Identifiable Information Quality Management","","| CNTL | CONTROL NAME | |-------|--------------------------------------------------------| | NO. | Control Enhancement Name | | PM-22 | Personally Identifiable Information Quality Management | No OT Discussion for this control."
"PM-23","PM","Program Management","Data Governance Body","","| CNTL | CONTROL NAME | |-------|--------------------------| | NO. | Control Enhancement Name | | PM-23 | Data Governance Body |"
"PM-24","PM","Program Management","Data Integrity Board","","| CNTL<br>NO. | CONTROL NAME<br>Control Enhancement Name | |-------------|------------------------------------------| | PM-24 | Data Integrity Board | No OT Discussion for this control."
"PM-25","PM","Program Management","Minimization Of Personally Identifiable Information Used In Testing, Training, And Research","","| CNTL | CONTROL NAME | |-------|------------------------------------------------------------------------------------------------| | NO. | Control Enhancement Name | | PM-25 | Minimization of Personally Identifiable Information Used in Testing, Training, and<br>Research | No OT Discussion for this control."
"PM-26","PM","Program Management","Complaint Management","","| CNTL | CONTROL NAME | |-------|--------------------------| | NO. | Control Enhancement Name | | PM-26 | Complaint Management | No OT Discussion for this control."
"PM-27","PM","Program Management","Privacy Reporting","","| CNTL | CONTROL NAME | |-------|--------------------------| | NO. | Control Enhancement Name | | PM-27 | Privacy Reporting | No OT Discussion for this control."
"PM-28","PM","Program Management","Risk Framing","","| CNTL | CONTROL NAME | |-------|--------------------------| | NO. | Control Enhancement Name | | PM-28 | Risk Framing |"
"PM-29","PM","Program Management","Risk Management Program Leadership Roles","","| CNTL | CONTROL NAME | |-------|------------------------------------------| | NO. | Control Enhancement Name | | PM-29 | Risk Management Program Leadership Roles | No OT Discussion for this control."
"PM-30","PM","Program Management","Supply Chain Risk Management Strategy","","| CNTL<br>NO. | CONTROL NAME<br>Control Enhancement Name | |-------------|------------------------------------------------------------------------------------------| | PM-30 | Supply Chain Risk Management Strategy | | PM-30 (1) | SUPPLY CHAIN RISK MANAGEMENT STRATEGY SUPPLIERS OF CRITICAL OR MISSION-ESSENTIAL ITEMS | No OT Discussion for this control."
"PM-31","PM","Program Management","Continuous Monitoring Strategy","","| CNTL | CONTROL NAME | |-------|--------------------------------| | NO. | Control Enhancement Name | | PM-31 | Continuous Monitoring Strategy | No OT Discussion for this control."
"PM-32","PM","Program Management","Purposing","","<span id=""page-291-0""></span> | CNTL | CONTROL NAME | |-------|--------------------------| | NO. | Control Enhancement Name | | PM-32 | Purposing | ## **F.7.14. PERSONNEL SECURITY – PS** ## **Tailoring Considerations for the Personnel Security Family** Personnel security controls require collaboration between OT, IT, security, and HR personnel."
"PS-1","PS","Personnel Security","Policy And Procedures","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.","| CNTL<br>NO. | CONTROL NAME | CONTROL BASELINES | | | |-------------|--------------------------|-------------------|--------|--------| | | Control Enhancement Name | LOW | MOD | HIGH | | PS-1 | Policy and Procedures | Select | Select | Select | OT Discussion: The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems."
"PS-2","PS","Personnel Security","Position Risk Designation","Private organizations should utilize existing sector-specific regulations, laws, policy, and guidance for determining appropriate risk designations for positions.","| CNTL<br>NO. | CONTROL NAME<br>Control Enhancement Name | CONTROL BASELINES | | | |-------------|------------------------------------------|-------------------|--------|--------| | | | LOW | MOD | HIGH | | PS-2 | Position Risk Designation | Select | Select | Select | OT Discussion: Private organizations should utilize existing sector-specific regulations, laws, policy, and guidance for determining appropriate risk designations for positions."
"PS-3","PS","Personnel Security","Personnel Screening","","| CNTL | CONTROL NAME<br>Control Enhancement Name | CONTROL BASELINES | | | | |------|------------------------------------------|-------------------|--------|--------|--| | NO. | | LOW | MOD | HIGH | | | PS-3 | Personnel Screening | Select | Select | Select | | No OT Discussion for this control."
