"identifier","family","family_long_name","base_control","enhancement","is_enhancement","sort_as","control_name","assessment_objective","examine","interview","test"
"PE-03(01)_ODP","PE","","PE-03","1","True","PE-03-01-01","","physical spaces containing one or more components of the system are defined;","","",""
"PE-03(01)[01]","PE","","PE-03","1","True","PE-03-01-02","","physical access authorizations to the system are enforced;","","",""
"PE-03(01)[02]","PE","","PE-03","1","True","PE-03-01-03","","physical access controls are enforced for the facility at <PE-03(01)_ODP physical spaces>.","","",""
"PE-03(02)","PE","","PE-03","2","True","PE-03-02-00","Physical Access Control | Facility and Systems","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access control; physical access control logs or records; records of security checks; security audit reports; security inspection reports; facility layout documentation; system entry and exit points; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access control responsibilities; organizational personnel with information security responsibilities].","[SELECT FROM: Organizational processes for physical access control to the facility and/or system; mechanisms supporting and/or implementing physical access control for the facility or system; mechanisms supporting and/or implementing security checks for the unauthorized exfiltration of information]."
"PE-03(02)_ODP","PE","","PE-03","2","True","PE-03-02-01","","the frequency at which to perform security checks at the physical perimeter of the facility or system for exfiltration of information or removal of system components is defined;","","",""
"PE-03(02)","PE","","PE-03","2","True","PE-03-02-02","","security checks are performed <PE-03(02)_ODP frequency> at the physical perimeter of the facility or system for exfiltration of information or removal of system components.","","",""
"PE-03(03)","PE","","PE-03","3","True","PE-03-03-00","Physical Access Control | Continuous Guards","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access control; physical access control logs or records; physical access control devices; facility surveillance records; facility layout documentation; system entry and exit points; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access control responsibilities; organizational personnel with information security responsibilities].","[SELECT FROM: Organizational processes for physical access control to the facility where the system resides; mechanisms supporting and/or implementing physical access control for the facility where the system resides]."
"PE-03(03)_ODP","PE","","PE-03","3","True","PE-03-03-01","","physical access points to the facility where the system resides are defined;","","",""
"PE-03(03)","PE","","PE-03","3","True","PE-03-03-02","","guards are employed to control <PE-03(03)_ODP physical access points> to the facility where the system resides 24 hours per day, 7 days per week.","","",""
"PE-03(04)","PE","","PE-03","4","True","PE-03-04-00","Physical Access Control | Lockable Casings","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access control; list of system components requiring protection through lockable physical casings; lockable physical casings; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access control responsibilities; organizational personnel with information security responsibilities].","[SELECT FROM: Lockable physical casings]."
"PE-03(04)_ODP","PE","","PE-03","4","True","PE-03-04-01","","system components to be protected from unauthorized physical access are defined;","","",""
