term,definition,source_anchor,notes
dma,"Direct Memory Access. Allows devices to access main memory outside of the control of the CPU, allowing faster data rates",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
dmarc,Domain-based Messaging and Reporting Conformance. An email authentication and reporting protocol that helps to monitor and improve protection from fraudulent email.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: mail check
dmz,"Demilitarised zone. A controlled segment of an organisation's private network (which typically separates it from the internet), used to host their publicly accessible services such as websites.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: demilitarised zone; firewall | see also: demilitarised zone; firewall
dns,Domain Name System. The directory service that translates internet domain names (for example www.bbc.co.uk) to their corresponding IP addresses.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: domain name service; ip address | see also: domain name service; ip address
domain,"A set of network addresses on the internet, managed by an organisation or person.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
dos,"Denial of Service. A type of cyber attack where a computer service is overloaded, so that real users can no longer access the service.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: denial of service; ddos | see also: denial of service; ddos
download attack,"A type of cyber attack where the victim unintentionally installs malware (such as viruses) on to a device, without the owner's knowledge.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: drive-by download; malware | see also: drive-by download; malware
education,The NCSC provides cyber security guidance and resources for the education sector to help protect everyone from schools to universities.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: research &amp; academia; research & academia | see also: research &amp; academia; research & academia
encryption,Protection of information by making it unreadable by everyone except those with the key to decrypt it.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: cryptography
end user device,"Term to collectively describe modern smartphones, laptops and tablets that connect to an organisation's network.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: eud; mdm | see also: eud; mdm
enterprise,"Any large business or organisation that uses computer systems, networks and devices.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
"equality, diversity and inclusion","Equality, Diversity and Inclusion",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
escrow,"A trusted third party service that holds money, software or other assets pending completion of a transaction.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: asset management
ethernet,The networking technology that uses wires (rather than Wi-Fi) to connect devices to networks (including the internet).,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: lan
exercising,"Cyber incident exercising helps organisations to establish how resilient they are to cyber attack, and practice their response in a safe environment.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
exploit,Development of tools to take advantage of a vulnerability in a system to gain unauthorised access or produce unwanted effects,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: attacker; vulnerabilities
fido2,Fast IDentity Online 2 is a set of standards that enable authentication using cryptographic keys instead of passwords.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: authentication
fingerprint reader,A biometric device that scans fingerprints to authenticate users.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: biometrics
firewall,Hardware or software used to prevent unauthorised access to or from a network.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: network
