"term","definition","source_anchor","notes"
"Digital signing","refers to an attempt to mimic the offline act of a person applying their signature to a paper document. Involves applying a mathematical algorithm, usually stored on and as part of the users’ private key, to the contents of a body of text. This results in an encrypted version of the document (referred to as the 'digitally signed' document) that can only be decrypted by applying the user’s public key. (Also digitally signing, digital signature).","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Disposition","the actions taken to support on-going administrative and operational activities in accordance with an approved Records Management Schedule regarding information that is no longer needed. Directions may include destroy, transfer to the government archives, transfer to inactive records storage space, or retain permanently within unit.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Distributed-Denial-of-Service (DDoS) Attack","is one of the most harmful attacks that can be launched against an information infrastructure. The anatomy of a DDoS assault begins with the enlistment of a large number of computers (i.e. Zombies, bot armies, etc.) that have been co-opted by hackers or organized crime. Hundreds of thousands of computers can be directed against a particular computer network target. The intended target is simply overwhelmed and unable to respond to legitimate requests for service. The network or information resource is made unavailable by the sheer force of traffic.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Domain Name","an address of a network connection that identifies the owner of that address, e.g., www.microsoft.com identifies a Web server at Microsoft Corporation, which is a commercial organization.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Domain Name System (DNS)","the domain name system (DNS) is the way that Internet domain names are located and translated into Internet Protocol addresses.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"DTS (Desktop Terminal Service)","remote access, for example, BC government employees with a DTS account can access their work files online from another location (such as their home).","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Dumpster Diving","is obtaining personal or corporate information, account names and passwords by searching through discarded media. It includes searching for and removing items from waste receptacles or recycle containers, such as bank statements, credit card offers, or any other items deemed of value by the ‘diver’.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Electronic agent","a computer program, or other electronic means, used to initiate an activity or to respond to electronic information, records or activities in whole or in part without review by an individual at the time of the response or activity.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Electronic commerce","the exchange of information between government and internal and external stakeholders independently of either participant’s computer system (e.g., electronically accessing forms, obtaining payments, sending invoices, receiving tax returns, placing orders and receiving transaction acknowledgements).","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Electronic messages","includes all forms of electronic messaging such as e-mail, voice mail, instant or text messaging, and etc.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Employee","within the context of information security, it is an individual working for the Government of British Columbia, including service providers, contractors or volunteers.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Data Encryption Standard (DES)","a widely-used method of data encryption using a private (secret) key. There are 72,000,000,000,000,000 (72 quadrillion) or more possible encryption keys that can be used. For each given message, the key is chosen at random from among this enormous number of keys. Like other private key cryptographic methods, both the sender and the receiver must know and use the same private key. Encryption is the cryptographic transformation of data (called ""plaintext"") into a form (called ""cipher text"") that conceals the data's original meaning to prevent it from being known or used.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"End User License Agreement (EULA)","is a legally binding contract between the developer or publisher of a software program or application and the purchaser of that software. Unlike the purchase of goods or services, the EULA is, as its name implies, a license agreement. In other words, the purchaser does not own the software, they merely have a right to use it in accordance with the licence agreement. During the install of package software, the purchaser is shown the contents of the EULA and is often required to scroll down through the EULA, at the bottom of which, one may Accept or Refuse the terms of the EULA. By enforcing the need to scroll through the EULA, a user would be unlikely to succeed in any action to deny acceptance of the terms of the EULA.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Equipment","See: **Hardware**","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Essential services","essential business processes are those processes defined as critical and business-priority and essential to delivery of outputs and achievement of business objectives. Business activities and resources are the essential elements that combine to make up each essential business process.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
"Exploit kit","a toolkit that automates the exploitation of vulnerable devices through vulnerabilities in the operating system, browser or program. These toolkits are often sold in the cyber criminal underground to those without significant cyber knowledge who can then operate as hackers.","https://www2.gov.bc.ca/gov/content/governments/services-for-government/information-management-technology/information-security/information-security-awareness/information-security-glossary",""
