"task_id","activity_id","activity_title","process_prefix","description"
"DE-2.6","DE-2","CREATE THE SYSTEM DESIGN","DE","Refine or define the security aspects of interfaces between system elements and with external entities."
"DE-2.7","DE-2","CREATE THE SYSTEM DESIGN","DE","Develop the security aspects of design artifacts."
"DE-2.8","DE-2","CREATE THE SYSTEM DESIGN","DE","Capture the security aspects of the design."
"DE-3.1","DE-3","EVALUTE THE SYSTEM DESIGN","DE","Analyze each system design alternative against criteria developed from expected trustworthy secure design properties and characteristics."
"DE-3.2","DE-3","EVALUTE THE SYSTEM DESIGN","DE","Assess each system design alternative for how well it meets stakeholder protection needs and the security aspects of the system requirements."
"DE-3.3","DE-3","EVALUTE THE SYSTEM DESIGN","DE","Combine the security analyses and assessments in the overall evaluation to select a preferred design solution."
"DE-4.1","DE-4","MANAGE THE RESULTS OF DESIGN DEFINITION","DE","Obtain agreement on the security aspects of the design."
"DE-4.2","DE-4","MANAGE THE RESULTS OF DESIGN DEFINITION","DE","Map the trustworthy secure design characteristics to the system elements."
"DE-4.3","DE-4","MANAGE THE RESULTS OF DESIGN DEFINITION","DE","Record the trustworthy secure design decisions and the rationale."
"DE-4.4","DE-4","MANAGE THE RESULTS OF DESIGN DEFINITION","DE","Maintain traceability of the security aspects of the system design."
"DE-4.5","DE-4","MANAGE THE RESULTS OF DESIGN DEFINITION","DE","Provide the security-relevant artifacts that have been selected for baselines."
"DM-1.1","DM-1","PREPARE FOR DECISIONS","DM","Define the security aspects of the decision management strategy."
"DM-1.2","DM-1","PREPARE FOR DECISIONS","DM","Identify the security aspects of the circumstances and the need for a decision."
"DM-1.3","DM-1","PREPARE FOR DECISIONS","DM","Identify stakeholders with relevant security expertise to support decision-making efforts."
"DM-2.1","DM-2","ANALYZE THE DECISION INFORMATION","DM","Select and declare the security aspects of the decision management strategy for each decision."
"DM-2.2","DM-2","ANALYZE THE DECISION INFORMATION","DM","Determine the desired security outcomes and the measurable security attributes of selection criteria."
"DM-2.3","DM-2","ANALYZE THE DECISION INFORMATION","DM","Identify the security aspects of the trade space and alternatives."
"DM-2.4","DM-2","ANALYZE THE DECISION INFORMATION","DM","Evaluate each alternative against the security criteria."
"DM-3.1","DM-3","MAKE AND MANAGE DECISIONS","DM","Determine the preferred alternative for each security-informed and security-based decision."
"DM-3.2","DM-3","MAKE AND MANAGE DECISIONS","DM","Record the security-informed or security-based resolution, decision rationale, and assumptions."
"DM-3.3","DM-3","MAKE AND MANAGE DECISIONS","DM","Record, track, evaluate, and report the security aspects of security-informed and security-based decisions."
"DS-1.1","DS-1","PREPARE FOR DISPOSAL","DS","Define the security aspects of the disposal strategy."
"DS-1.2","DS-1","PREPARE FOR DISPOSAL","DS","Identify the security-relevant constraints and objectives of disposal on the system requirements, architecture and design characteristics, and implementation techniques."
"DS-1.3","DS-1","PREPARE FOR DISPOSAL","DS","Identify the security aspects for enabling systems or services needed to support disposal."
"DS-1.4","DS-1","PREPARE FOR DISPOSAL","DS","Identify and plan for enabling systems or services needed to support the security aspects of disposal."
"DS-1.5","DS-1","PREPARE FOR DISPOSAL","DS","Obtain or acquire access to the security aspects of enabling systems or services to be used in disposal."
"DS-1.6","DS-1","PREPARE FOR DISPOSAL","DS","Specify security criteria for containment facilities, storage locations, inspection, and storage periods (if the system is to be stored)."
